,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
322,0,0,17,0,1,1,2,2,3,3,0,1,1,3,0,0,1,1,1,1,1,1,0,3,3,2,2,2,3,3,11,11,11
36,0,1,15,1,1,1,4,3,4,3,1,1,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18
287,0,0,17,1,0,1,1,1,3,4,3,1,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,6,13,12,12
152,0,0,15,0,0,1,3,3,3,3,3,2,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,10,10,10
349,1,1,18,0,0,1,3,2,2,2,0,1,2,1,1,0,1,0,0,0,1,1,0,2,5,5,5,5,5,10,11,13,13
382,1,1,17,1,0,1,2,3,2,3,1,0,2,2,0,0,0,0,1,1,1,1,0,4,4,3,1,1,3,2,11,11,10
59,0,0,16,1,0,1,4,2,3,2,0,1,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16
111,0,0,16,0,0,1,3,3,3,2,3,0,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,7,10,10
325,0,1,18,1,0,1,4,4,2,2,0,1,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,3,9,12,11
249,0,1,16,1,0,1,0,2,2,2,2,1,1,1,0,0,0,1,0,0,1,1,0,4,3,2,2,4,5,0,13,15,15
6,0,1,16,1,1,1,2,2,2,2,1,1,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11
284,0,0,17,1,0,1,2,2,2,2,0,1,1,2,0,0,1,0,0,0,1,1,0,5,4,5,1,2,5,4,10,9,11
271,0,0,18,1,0,1,2,3,2,3,3,0,1,4,0,0,1,1,1,1,1,1,1,4,5,5,1,3,2,4,15,14,14
150,0,1,18,1,1,1,1,1,2,2,0,1,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,6,5,0
10,0,0,15,1,0,1,4,4,4,1,3,1,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9
192,0,1,17,1,0,1,1,2,0,3,2,2,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,7,8,8
103,0,0,15,1,0,1,3,2,3,2,1,1,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6,6
81,0,1,15,1,0,1,2,3,2,2,1,1,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11
290,0,1,18,1,0,1,4,2,4,2,1,1,1,2,0,0,1,1,1,1,1,1,1,4,3,2,1,4,5,11,12,11,11
366,1,1,18,1,1,1,4,4,4,3,2,1,2,3,0,0,0,1,0,1,1,1,1,4,2,2,2,2,5,0,13,13,13
202,0,0,17,1,0,1,1,1,2,2,0,1,1,2,0,0,1,1,0,0,1,0,0,4,4,4,1,3,1,4,9,9,10
345,0,0,18,1,0,1,3,2,2,3,2,1,1,3,0,0,0,0,0,1,1,1,1,5,4,3,2,3,1,7,13,13,14
163,0,1,17,1,0,1,1,3,0,3,0,0,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,10,10,10
297,0,0,18,1,1,1,4,3,2,2,1,2,2,2,0,0,1,1,0,1,1,1,1,4,4,5,1,2,2,10,10,8,8
89,0,1,16,1,1,0,4,4,4,1,3,1,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6,7
203,0,0,17,0,0,1,2,2,2,2,3,1,1,1,0,0,1,0,0,1,1,1,0,5,3,2,1,2,3,18,7,6,6
147,0,0,15,1,0,1,1,2,0,2,0,1,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,10,11,11
222,0,0,16,1,0,1,2,3,3,4,2,1,1,2,0,1,0,0,0,1,1,1,0,2,3,1,1,1,3,2,16,16,17
92,0,0,16,1,1,1,3,1,2,2,1,0,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7,6,6
69,0,0,15,0,1,1,3,1,2,2,3,0,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16,16
123,0,1,16,1,0,1,4,4,1,2,0,1,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,14,11,13
96,0,1,16,0,0,1,4,3,3,2,3,1,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,11,15,15
143,0,0,16,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,14,14,13
299,0,1,18,1,1,1,4,4,4,4,1,1,1,1,0,0,1,1,0,1,1,1,1,1,4,2,2,2,1,5,16,15,16
97,0,0,16,1,0,1,2,1,2,2,0,1,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,8,9,10
232,0,1,17,1,0,1,4,4,4,4,3,1,1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,14,11,9,9
68,0,0,15,0,1,1,2,2,1,3,3,1,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8
23,0,1,16,1,1,1,2,2,2,2,3,1,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12
37,0,1,16,0,0,0,4,4,2,4,3,1,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15
144,0,1,17,1,0,1,2,1,2,2,1,1,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,5,0,0
122,0,0,16,1,1,1,2,4,2,1,0,0,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13,13,13
67,0,0,16,1,0,1,3,1,3,2,0,1,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6
180,0,1,16,1,0,1,4,3,4,2,1,1,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,9,8,8
208,0,0,16,1,0,1,1,1,0,2,1,1,2,1,0,0,1,1,0,1,1,0,0,4,3,2,1,4,5,6,9,9,10
282,0,0,18,0,1,1,1,1,0,2,3,1,2,4,0,0,1,1,1,1,1,0,0,5,2,2,1,1,3,1,12,12,12
369,1,0,18,0,0,1,4,4,2,4,2,0,3,2,0,0,1,1,0,0,1,1,1,3,2,2,4,2,5,10,14,12,11
280,0,1,17,1,1,0,4,1,3,2,1,1,2,1,0,0,0,1,1,1,1,1,1,4,5,4,2,4,5,30,8,8,8
125,0,1,15,1,0,1,3,4,3,3,1,0,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,13,13,12
146,0,0,15,1,0,1,3,2,1,3,1,0,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,6,7,0
229,0,0,17,1,0,0,2,1,2,2,0,1,2,3,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,10,12,10,12
86,0,0,16,1,1,1,2,2,0,2,0,1,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8,7,6
332,0,0,18,1,0,1,3,3,3,3,1,1,1,2,0,0,0,0,1,1,1,1,0,5,3,4,1,1,4,0,7,0,0
219,0,0,17,1,0,1,2,2,0,0,0,1,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4,9,10,10
333,0,0,18,1,1,1,2,2,2,2,1,2,1,2,0,0,0,0,1,0,1,1,1,4,3,3,1,1,2,0,8,8,0
195,0,0,17,1,1,1,2,4,3,3,0,0,1,2,0,0,0,0,1,1,1,1,1,4,3,2,1,1,5,0,14,15,15
274,0,0,17,1,0,1,2,4,0,1,3,1,2,2,0,0,1,1,0,1,1,1,1,4,3,3,1,1,1,2,10,10,10
298,0,0,18,1,0,1,4,3,2,2,3,0,1,4,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0,14,13,14
183,0,0,17,1,1,1,3,3,2,2,3,1,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,9,9,8
220,0,0,17,0,0,1,2,1,0,3,3,1,2,2,0,0,1,0,1,1,1,1,0,4,2,5,1,2,5,2,6,6,6
312,0,1,19,1,0,1,1,2,2,3,0,2,1,2,1,0,0,0,0,0,1,1,0,4,5,2,2,2,4,3,13,11,11
336,0,0,19,0,0,0,3,1,3,0,1,2,1,3,1,0,0,1,0,1,1,0,0,5,4,3,1,2,5,12,14,13,13
278,0,0,18,1,0,1,4,4,1,1,3,0,1,2,1,1,1,0,1,1,1,1,1,2,4,4,1,1,4,15,9,8,8
129,0,1,16,0,0,1,4,4,4,4,0,1,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,18,18,18
38,0,0,15,0,0,1,3,4,3,1,0,1,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11
11,0,0,15,1,0,1,2,1,3,2,3,0,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12
266,0,1,17,1,0,1,3,1,3,2,2,1,1,2,0,0,0,1,1,1,1,1,1,5,4,4,3,4,5,2,9,9,10
185,0,1,17,1,0,1,3,3,3,3,2,1,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,12,12,11
233,0,1,16,1,0,1,4,4,1,2,3,0,1,2,0,0,1,1,1,1,1,1,0,4,2,4,2,4,1,2,14,13,13
112,0,0,16,1,0,1,2,2,0,2,1,1,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,10,13,13
179,0,1,17,1,0,1,4,3,2,2,0,1,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,10,10,11
265,0,1,18,0,1,0,3,4,2,2,3,1,2,2,0,0,1,1,1,1,1,1,0,4,2,5,3,4,1,13,17,17,17
277,0,1,18,1,0,1,4,4,4,3,1,1,2,1,0,0,0,1,1,1,1,1,0,3,2,4,1,4,3,22,9,9,9
117,0,1,16,1,0,1,3,3,2,3,1,0,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13,14,13
363,1,0,17,1,1,1,4,4,0,0,0,1,1,2,0,0,1,1,1,1,1,1,1,2,3,4,1,1,1,0,16,15,15
347,0,1,18,1,0,1,4,3,4,2,0,1,1,3,0,0,1,1,0,1,1,1,1,5,4,5,2,3,5,0,10,10,9
379,1,0,17,0,0,1,3,1,0,2,3,1,1,2,0,0,1,1,1,0,1,1,0,4,5,4,2,3,1,17,10,10,10
283,0,0,18,1,0,1,1,1,2,2,1,1,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,4,8,9,10
357,1,0,17,1,1,0,3,2,3,2,3,1,2,2,0,0,0,0,0,1,1,0,1,1,2,3,1,2,5,2,12,12,11
164,0,1,17,0,1,1,1,1,2,3,0,1,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,5,8,7
247,0,1,22,1,0,1,3,1,3,3,2,1,1,1,3,0,0,0,0,0,0,1,1,5,4,5,5,5,1,16,6,8,8
136,0,1,17,0,0,1,3,4,0,2,0,1,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,10,0,0
154,0,0,17,1,0,1,4,4,2,4,0,1,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,11,11,12
199,0,0,16,1,1,1,4,4,4,4,3,1,1,2,0,0,1,1,0,1,1,1,0,4,5,2,1,2,3,0,9,9,10
197,0,1,16,0,1,1,3,3,4,2,1,0,3,1,0,0,1,1,1,1,1,1,0,3,3,4,3,5,3,8,9,9,10
387,1,0,19,0,0,1,2,3,3,2,0,1,1,3,1,0,0,0,1,0,1,1,0,5,4,2,1,2,5,0,7,5,0
2,0,0,15,1,1,1,1,1,0,2,2,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10
204,0,0,16,0,0,1,2,2,3,3,3,1,2,4,0,0,1,1,1,0,1,1,0,5,3,5,1,1,5,6,10,10,11
115,0,1,16,1,0,1,4,4,4,4,0,0,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15,16
228,0,1,18,1,1,1,2,1,0,2,0,1,4,2,0,1,1,1,1,1,1,1,1,4,3,2,4,5,3,14,10,8,9
231,0,1,17,0,0,1,2,2,2,2,0,0,2,2,0,0,1,1,1,1,1,1,0,4,5,2,1,1,1,4,11,11,11
26,0,1,15,1,0,1,2,2,2,2,1,1,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11
120,0,0,15,1,0,1,1,2,0,3,0,1,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,16,15,15
302,0,0,17,1,0,1,4,2,2,2,3,1,2,3,0,0,1,1,0,1,1,1,0,4,3,3,1,1,3,0,15,12,14
224,0,0,16,1,0,1,4,4,4,3,1,1,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0,13,13,14
237,0,0,16,1,0,1,2,1,2,2,1,1,1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,20,13,12,12
338,0,0,18,1,1,1,3,3,3,3,1,1,1,4,0,0,1,0,0,1,1,1,0,5,3,3,1,1,1,7,16,15,17
311,0,0,19,1,0,1,2,1,0,2,2,2,3,2,0,0,1,0,0,1,0,1,1,3,4,1,1,1,2,20,14,12,13
340,0,0,19,1,0,1,2,1,3,3,1,2,1,3,1,0,0,1,1,1,1,1,1,4,3,4,1,3,3,4,11,12,11
127,0,0,19,1,0,1,0,1,0,2,0,2,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,7,8,9
74,0,0,16,1,0,1,3,3,2,3,1,1,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,11
318,0,0,17,0,0,1,3,4,0,3,0,0,1,3,0,0,1,1,1,0,1,1,0,4,3,4,2,5,5,0,11,11,10
29,0,1,16,1,0,1,4,4,4,4,1,1,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11
83,0,1,15,1,1,1,2,2,3,3,1,1,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15
326,0,1,17,1,0,1,3,3,2,3,3,1,1,1,0,0,0,0,1,0,1,1,0,4,3,5,3,5,5,3,14,15,16
107,0,1,16,1,0,1,3,3,3,2,1,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18
355,1,0,18,1,0,1,3,3,3,3,0,0,1,2,0,0,1,0,0,1,1,0,1,5,3,4,1,1,5,0,10,9,9
310,0,0,19,1,1,1,1,2,3,3,1,2,1,2,1,0,0,0,1,0,1,0,1,4,2,4,2,2,3,0,9,9,0
133,0,0,16,1,0,0,3,4,3,2,0,0,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,12,11,11
244,0,0,18,1,0,1,2,1,2,2,0,2,2,3,0,0,1,1,0,0,1,1,1,4,4,4,1,1,3,0,7,0,0
184,0,0,16,1,0,1,3,2,2,2,3,1,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,12,13,12
286,0,0,18,1,0,1,2,2,0,0,2,1,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,2,2,5,18,18,19
44,0,0,16,1,1,1,2,2,2,0,0,0,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9
362,1,0,18,1,0,1,3,3,3,3,2,1,2,2,0,0,1,0,0,1,1,1,1,4,3,2,1,3,3,0,11,11,10
65,0,0,16,1,1,1,4,3,4,3,0,1,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15
292,0,0,18,1,1,1,2,1,3,0,3,1,1,2,1,0,0,0,0,1,1,1,1,5,4,3,1,1,5,12,12,12,13
85,0,0,15,1,0,1,4,4,3,3,3,0,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7,9,8
242,0,1,16,1,1,1,4,3,4,2,0,1,1,1,0,0,0,0,1,0,1,1,0,5,4,5,1,1,3,0,6,0,0
186,0,1,16,1,0,1,1,2,3,3,2,1,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,11,12,11
70,0,1,16,1,0,1,3,1,2,2,3,0,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15
159,0,1,16,1,0,1,3,3,2,3,0,0,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,10,12,12
12,0,1,15,1,1,1,4,4,1,3,0,0,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14
35,0,0,15,1,0,1,2,3,2,2,2,0,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6
28,0,1,16,1,1,0,3,4,3,2,1,1,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11
170,0,1,16,1,0,1,3,4,2,2,0,0,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0,6,5,0
142,0,0,15,1,0,1,4,4,4,3,0,1,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,9,11,11
314,0,0,19,1,0,1,1,1,0,1,1,2,1,3,2,0,0,0,0,0,1,1,1,4,1,2,1,1,3,14,15,13,13
268,0,1,18,1,0,1,4,2,1,2,3,0,1,2,0,0,1,1,1,1,1,1,1,5,4,5,1,3,5,10,10,9,10
221,0,0,17,1,0,1,1,1,0,2,3,1,1,3,1,0,1,0,1,1,1,0,1,4,3,4,1,1,5,0,6,5,0
95,0,0,15,0,0,1,1,1,0,2,1,1,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10,10
51,0,0,15,1,1,1,4,2,1,2,2,1,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13
240,0,1,17,1,1,1,4,3,1,2,0,1,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,14,12,12,12
294,0,1,18,0,1,1,3,2,3,2,3,1,2,3,0,0,1,1,1,1,1,1,0,5,4,2,1,1,4,8,14,13,14
305,0,0,18,1,0,1,2,4,3,0,3,2,1,2,1,0,1,1,1,1,1,1,0,4,4,3,1,1,3,8,14,12,12
178,0,1,16,0,0,1,4,2,4,3,2,1,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,10,8,9
41,0,1,15,1,1,1,4,4,4,2,1,2,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12
352,1,1,18,1,1,1,1,3,0,3,0,1,1,1,1,0,0,0,0,1,0,1,1,4,3,3,2,3,3,7,8,7,8
206,0,0,16,1,0,0,3,1,3,2,0,1,1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5,7,7,7
254,0,1,17,0,0,1,2,1,2,2,0,1,1,1,0,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0,8,12,12
327,0,1,17,0,0,1,2,2,3,2,0,1,4,1,0,0,1,0,0,1,1,1,0,4,4,5,5,5,4,8,11,10,10
4,0,0,16,1,0,1,3,3,2,2,1,0,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,6,10,10
256,0,0,17,1,1,1,4,2,4,3,3,1,1,4,0,0,1,1,1,1,1,1,0,4,2,3,1,1,4,6,14,12,13
353,1,1,19,0,0,1,1,1,2,2,1,2,3,1,1,0,1,0,0,1,1,1,0,4,4,4,3,3,5,4,8,8,8
100,0,1,16,1,0,1,4,4,3,3,2,1,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7,7,5
226,0,0,17,1,0,1,3,2,2,2,0,1,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10,16,15,15
337,0,0,17,1,0,1,3,2,2,2,1,1,1,2,0,0,1,1,0,1,1,1,1,4,3,2,2,3,2,0,7,8,0
213,0,1,18,1,0,1,2,2,3,2,1,1,1,2,1,0,1,1,1,1,1,1,0,4,4,4,2,4,5,15,6,7,8
171,0,1,16,1,0,1,1,0,2,2,3,1,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,13,15,16
98,0,0,16,1,0,1,4,4,2,2,3,1,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,11,14,14
215,0,0,17,1,1,1,3,2,2,2,3,1,2,2,0,0,0,1,0,1,1,1,0,4,4,4,1,3,1,2,14,15,15
61,0,0,16,1,0,1,1,1,3,3,0,0,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11
47,0,1,16,1,0,1,4,3,1,3,3,1,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20
32,0,1,15,0,0,1,4,3,4,0,0,1,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16
267,0,0,18,0,0,1,4,4,4,2,3,1,2,2,0,0,0,1,1,1,1,1,0,4,3,4,2,2,4,8,12,10,11
200,0,0,16,1,0,1,4,3,1,2,1,1,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2,16,16,16
351,1,1,17,1,0,1,3,3,1,2,0,1,2,2,0,0,1,1,0,1,1,1,0,4,5,4,2,3,3,2,13,13,13
27,0,1,15,1,0,1,4,2,1,3,2,1,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15
376,1,0,20,1,0,1,4,2,1,2,0,2,2,3,2,0,1,1,0,0,1,1,1,5,4,3,1,1,3,4,15,14,15
230,0,0,17,1,1,1,4,3,1,2,3,0,1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,14,13,13,14
260,0,0,18,1,0,1,4,3,3,2,1,0,1,2,0,0,1,1,0,1,1,1,1,3,1,2,1,3,2,21,17,18,18
288,0,1,18,1,0,1,2,1,3,3,3,1,1,3,0,0,0,1,1,1,1,1,0,4,2,4,1,3,2,6,15,14,14
162,0,1,16,1,1,1,1,2,2,2,0,1,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0,7,0,0
335,0,0,17,1,0,1,3,4,3,2,0,1,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,16,16,15,15
138,0,1,16,1,1,1,1,1,3,2,0,1,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,14,12,12
62,0,0,16,1,1,1,1,2,2,3,3,0,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9
