brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
132,Rogue Ales,1181351529,4.5,4.0,4.5,arizcards,American Stout,4.5,4.5,Chocolate Stout,6.0,1118
5316,Full Sail Brewery & Tasting Room & Pub,1187659763,3.5,4.0,4.0,Bitterbill,Belgian Strong Pale Ale,3.0,3.5,Vesuvius (Brewmaster Reserve),8.5,25762
448,Pivovar Velké Popovice a.s.,1133170025,4.0,3.5,4.5,jarmby1711,Munich Dunkel Lager,4.0,4.0,Kozel Cerny (Kozel Dark) Velckopopovicky,3.8,16273
423,Boulevard Brewing Co.,1323318874,4.0,4.5,4.5,ikenney87,American Porter,3.5,4.5,Bully! Porter,5.2,1262
10099,Dogfish Head Brewery,1195860596,3.5,3.5,3.5,animal69,Belgian Strong Dark Ale,3.0,3.5,Raison D'etre,8.0,1180
5316,Full Sail Brewery & Tasting Room & Pub,1186098652,4.0,4.0,3.5,Wasatch,American Amber / Red Ale,4.0,4.0,Nugget (Brewmaster Reserve),6.5,35992
24,Traquair House Brewery Lld,1143177623,4.0,4.5,4.0,geexploitation,Scotch Ale / Wee Heavy,4.5,4.0,Traquair House Ale,7.2,36
697,Kiuchi Brewery,1166159963,4.0,3.5,3.5,IntriqKen,English India Pale Ale (IPA),4.0,4.0,Hitachino Nest Japanese Classic Ale,7.0,16429
911,Klosterbrauerei Andechs,1306072677,4.5,4.5,4.5,Forb,Doppelbock,4.5,4.5,Andechser Doppelbock Dunkel,7.1,2899
106,JOS. Schlitz Brewing Co. (Pabst),1302664079,3.5,3.0,3.5,emmasdad,American Adjunct Lager,4.0,3.5,Schlitz Gusto (Classic 1960's Formula),4.7,44315
45,Brooklyn Brewery,1189397072,4.0,3.5,4.0,kdales77,American Brown Ale,3.5,4.0,Brooklyn Brown Ale,5.6,146
9629,Short's Brewing Company,1214979617,4.0,4.5,3.5,rallison,Schwarzbier,4.0,4.5,Short's Bourbon Barrel Sustenance Black Beer,6.5,42366
144,Sprecher Brewing Company,1168899861,4.5,3.0,4.5,shbobdb,American Amber / Red Ale,4.0,4.5,Shakparo (Fire-Brewed African Style-Ale),5.7,34780
4045,Russell Brewing Company,1308786613,3.0,3.5,3.0,marty21,English Dark Mild Ale,3.5,3.0,Russell Cream Ale,5.0,9161
9897,Jolly Pumpkin Artisan Ales,1146457071,4.0,4.0,4.0,beveragecaptain,Witbier,3.5,4.0,Calabaza Blanca,4.8,19306
72,Weisses Bräuhaus G. Schneider & Sohn GmbH,1240629099,4.0,4.0,4.0,ChainGangGuy,Weizenbock,4.5,4.0,Schneider Aventinus,8.2,224
35,Boston Beer Company (Samuel Adams),1233955174,4.0,4.5,4.5,magget,Russian Imperial Stout,4.0,4.5,Samuel Adams Imperial Stout,9.2,47360
652,Central Waters Brewing Company,1268439699,3.5,3.5,3.0,wspscott,American Double / Imperial Stout,3.5,3.5,Satin Solstice Imperial Stout,7.5,2812
141,Smuttynose Brewing Company,1198535628,4.0,3.0,5.0,Zephenbrewid,American Porter,4.0,4.5,Smuttynose Robust Porter,5.7,622
132,Rogue Ales,1123780750,5.0,5.0,5.0,Golden2wenty1,American Stout,4.5,4.5,Chocolate Stout,6.0,1118
10099,Dogfish Head Brewery,1306164626,4.0,4.0,4.5,bucklemyshoe,Belgian Strong Dark Ale,4.0,3.5,Raison D'etre,8.0,1180
14879,Hoppin' Frog Brewery,1250292427,4.0,4.0,3.5,UDbeernut,American IPA,4.0,4.5,Hoppin' To Heaven IPA,6.8,33624
83,Brouwerij van Hoegaarden,1244574440,2.5,2.5,3.0,baggio,Witbier,2.0,2.0,Hoegaarden Rosé,4.5,36649
418,Left Hand Brewing Company,1185146986,4.0,4.5,3.5,arizcards,American Double / Imperial Stout,3.5,4.5,Oak Aged Imperial Stout,10.0,15915
35,Boston Beer Company (Samuel Adams),1151726588,3.0,4.5,3.5,palffyfan,American Pale Wheat Ale,3.0,3.0,Samuel Adams Hefeweizen,5.4,15216
73,Great Lakes Brewing Company,1262235834,4.0,4.5,4.0,mduncan,American Porter,3.5,4.0,Great Lakes Edmund Fitzgerald Porter,5.8,226
107,Millstream Brewing Company,1090163799,4.0,3.0,3.0,sulldaddy,American Pale Lager,2.5,3.0,Millstream Wheat Lager,4.2,7863
743,Lancaster Brewing Company,1302019800,2.0,2.5,2.5,harrymel,Milk / Sweet Stout,2.0,2.0,Milk Stout,5.3,3960
6615,Brauhaus Knallhütte/Hütt Brauerei Bettenhäuser GmbH & Co. KG,1309418395,2.5,2.5,3.5,BarryMFBurton,Kölsch,2.5,2.5,Hütt Brauhaus-Schoppen,5.2,70569
26,Three Floyds Brewing Co. & Brewpub,1138377114,4.0,4.0,4.0,bditty187,American Porter,4.0,4.0,Alpha Klaus Christmas (Xmas) Porter,6.0,7438
1548,John Harvard's Brewery & Ale House,1230571498,4.0,3.5,4.0,LilBeerDoctor,Milk / Sweet Stout,3.5,4.0,Belgian Black,,44446
821,Monte Carlo Casino Pub & Brewery,1093644482,1.0,2.0,3.5,beertaster13,Hefeweizen,1.5,1.0,Monte Carlo Winner's Wheat,,6555
63,Deschutes Brewery,1251694331,4.5,4.0,5.0,atigerlife,American Porter,4.5,4.5,Black Butte XXI,11.0,50846
287,"Bell's Brewery, Inc.",1145068562,4.0,3.5,3.5,Bitterbill,American Blonde Ale,4.0,4.0,Third Coast Beer,4.8,3811
6045,Iron Hill Brewery & Restaurant,1221615363,4.0,3.5,3.5,bonkers,Märzen / Oktoberfest,3.5,3.5,Octoberfest,6.0,52786
16205,Saint Somewhere Brewing Company,1271569396,4.0,4.5,5.0,nickfl,Dubbel,4.0,4.0,Pays Du Soleil,8.0,52493
260,Brasserie De Saint-Sylvestre,1315924511,4.5,4.5,4.5,eric5bellies,Bière de Garde,4.5,4.5,3 Monts,8.5,1308
35,Boston Beer Company (Samuel Adams),1250822368,4.0,3.0,4.0,drummerben,Märzen / Oktoberfest,4.0,3.5,Samuel Adams Octoberfest,5.3,102
454,Arcadia Brewing Company,1097123247,4.5,4.0,4.5,ken3c,Extra Special / Strong Bitter (ESB),3.5,3.5,Arcadia Lake Superior ESB,5.5,6409
30,Avery Brewing Company,1145448727,3.5,4.0,3.5,scottoale,Belgian Strong Pale Ale,4.0,4.0,Salvation,9.0,4072
681,Brasserie de l'Abbaye des Rocs s.a.,1146406601,4.0,4.0,3.0,rodrot,Belgian Strong Dark Ale,4.0,4.5,Abbaye Des Rocs [Brasserie Des Rocs Brune],9.0,2469
997,The Brewer's Art,1221783104,4.0,4.5,4.0,Hojaminbag,Belgian Strong Pale Ale,4.0,3.5,Brewer's Art Ozzy Ale,7.25,7096
10099,Dogfish Head Brewery,1138756309,3.0,4.0,3.5,Gueuzedude,Belgian Strong Pale Ale,3.0,4.0,Au Courant,7.0,14560
2137,Breckenridge Brewery,1309127103,3.5,4.0,3.5,Jishguy,American Porter,3.5,4.0,Vanilla Porter,4.7,27800
417,August Schell Brewing Company,1211427695,3.5,4.0,4.0,Greggy,Dubbel,4.0,4.0,Snowstorm 2007,,39213
140,Sierra Nevada Brewing Co.,1252883704,4.0,4.0,4.0,ChopperSmith,Hefeweizen,4.0,4.0,Sierra Nevada Kellerweis Hefeweizen,4.8,48434
143,Spoetzl Brewery,1098851393,5.0,1.5,3.0,moocey,Bock,3.0,3.0,Shiner Bock,4.4,1352
14879,Hoppin' Frog Brewery,1208467384,5.0,4.5,4.0,dholway,American Double / Imperial IPA,4.5,5.0,Mean Manalishi Double I.P.A.,8.2,37518
195,Brouwerij De Musketiers,1291020650,4.0,4.5,4.0,yapi,Belgian IPA,4.0,4.5,Troubadour Magma,9.0,58261
26,Three Floyds Brewing Co. & Brewpub,1163134221,4.0,4.0,3.0,rrg1gb,American Pale Ale (APA),3.5,4.0,Alpha King Pale Ale,6.0,39
718,Brouwerij Bavik,1140196780,4.0,3.0,4.0,Bierschenker,Flanders Oud Bruin,3.5,3.0,Petrus Oud Bruin,5.5,2479
296,St. Peter's Brewery Co Ltd,1067109714,3.5,3.0,2.5,Globetrotter,English Pale Ale,3.0,3.5,St. Peter's Organic Ale,4.5,8326
735,21st Amendment Brewery,1301258011,2.5,3.0,3.0,Knapp85,Fruit / Vegetable Beer,2.0,2.0,Hell Or High Watermelon Wheat Beer,4.9,4202
494,Malt Shovel Brewery,1066058333,2.0,2.0,3.0,diablo14,Czech Pilsener,2.0,2.0,James Squire Original Pilsener,5.0,2798
648,Köstritzer Schwarzbierbrauerei GmbH & Co.,1124858654,4.0,3.0,4.0,macleod,Schwarzbier,4.0,3.5,Köstritzer Schwarzbier,4.8,1774
10099,Dogfish Head Brewery,1302747974,4.0,4.0,4.5,Jimmys,American Stout,4.5,4.0,Chicory Stout,5.2,1153
1445,Barley Island Brewing Company,1225680098,3.5,3.5,4.5,emerge077,Oatmeal Stout,3.5,3.5,Beastie Barrel Stout,6.0,45567
13307,Mikkeller ApS,1236787082,5.0,4.5,4.0,sholland119,American Double / Imperial Stout,4.5,4.5,Beer Geek Brunch Weasel,10.9,46987
14879,Hoppin' Frog Brewery,1267931915,4.5,4.5,3.0,abuliarose,Russian Imperial Stout,5.0,4.5,Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout,9.4,47695
2321,Craftsman Brewing Co.,1235285557,4.5,2.5,4.0,Sandstone,Fruit / Vegetable Beer,3.5,4.0,Craftsman Cabernale,7.5,14304
423,Boulevard Brewing Co.,1312727982,4.0,4.0,4.0,chilidog,American Pale Wheat Ale,4.0,4.0,Unfiltered Wheat,4.6,1260
634,Brouwerij Van Eecke N.V.,1199036011,3.0,4.0,4.5,Jwale73,Belgian Dark Ale,3.0,3.0,Kapittel Pater,6.0,11867
143,Spoetzl Brewery,1081614217,4.0,4.5,4.0,garymuchow,Hefeweizen,4.0,4.0,Shiner Hefeweizen,5.4,1552
266,Mad River Brewing Company,1181533902,4.0,3.5,4.0,macster,American Double / Imperial IPA,3.0,4.0,Steelhead Double India Pale Ale,8.6,29078
42,Brewery Ommegang,1320098994,4.0,4.0,4.0,CenCalMario,Flanders Red Ale,4.0,4.5,Ommegang Rouge,5.5,44091
281,"Tsingtao Brewery Co., Ltd.",1068322485,2.0,2.0,2.0,Globetrotter,American Adjunct Lager,2.5,2.5,Tsingtao,4.8,767
103,"Middle Ages Brewing Co., Ltd.",1145673926,4.0,4.0,4.5,yelterdow,Scotch Ale / Wee Heavy,3.0,4.0,Ye Olde Kilt Tilter,9.0,6072
293,Bass Brewers Limited,1221061585,3.5,3.0,4.0,cbarrett,English Pale Ale,3.5,4.5,Bass Pale Ale,5.0,811
197,Brasserie Fischer / Fischer Biere d' Alsace,1219271818,4.0,3.5,4.0,beerthulhu,Belgian Pale Ale,3.5,3.5,Fischer Réserve Ambrée,6.3,39223
209,Guinness Ltd.,1233202309,3.5,3.5,3.5,mjw06,Irish Dry Stout,3.0,3.5,Guinness Extra Stout (Original),6.0,650
220,Lagunitas Brewing Company,1295926605,3.5,4.0,3.5,HosP,American Double / Imperial Stout,3.5,3.5,Cappuccino Stout,8.8,20445
35,Boston Beer Company (Samuel Adams),1194619998,3.5,3.0,3.0,sc13ntific,Vienna Lager,3.0,3.5,Samuel Adams Boston Lager,4.9,104
863,Russian River Brewing Company,1221874099,3.0,3.0,4.5,ccrida,Belgian Pale Ale,3.5,3.0,Redemption,5.15,13741
22511,Hill Farmstead Brewery,1321315376,4.0,3.0,4.5,celticfutblclub,Saison / Farmhouse Ale,4.0,4.5,Clara,4.0,71866
130,Boulder Beer / Wilderness Pub,1301698853,4.0,4.0,3.5,secondtooth,American Pale Ale (APA),3.5,4.0,Hazed & Infused,4.85,6590
392,Weyerbacher Brewing Co.,1321970582,4.5,4.5,4.0,ktrillionaire,American Wild Ale,4.5,4.5,Rapture,6.7,71953
10541,Cucapá Brewing Company,1233115957,4.0,3.5,3.5,DoubleJ,American Brown Ale,4.0,4.0,Cucapá Obscura,4.5,36269
943,Smoky Mountain Brewery & Restaurant,1048367991,4.5,4.0,3.0,Dogbrick,Munich Helles Lager,3.5,3.5,Velas Helles,5.2,3037
158,Great Divide Brewing Company,1141722658,3.5,4.0,4.5,skillerified,American Double / Imperial IPA,3.5,4.0,Hercules Double IPA,10.0,17060
689,Two Brothers Brewing Company,1232162508,4.0,4.0,4.5,schellsbeer,Rye Beer,4.5,4.5,Cane & Ebel,7.0,30502
668,Back Road Brewery,1057424637,3.5,3.0,3.0,hotstuff,Märzen / Oktoberfest,2.5,3.5,Maple City Gold,7.2,4859
1923,Uerige Obergärige Hausbrauerei GmbH / Zum Uerige,1307681769,4.5,4.5,4.5,Beerenauslese,Altbier,4.5,5.0,Uerige Doppelsticke,8.5,24042
10099,Dogfish Head Brewery,1138404262,3.5,3.5,4.0,ghostwalker,American Stout,3.0,4.0,Chicory Stout,5.2,1153
620,Der HirschBrau/Privatbrauerei Höss,1296082361,3.0,3.5,3.5,peensteen,Hefeweizen,2.5,3.0,Weisser Hirsch Allgäuer Weizen,5.2,3181
335,New Holland Brewing Company,1251141687,4.0,4.0,4.0,weeare138,American Double / Imperial Stout,4.0,4.5,New Holland Night Tripper,10.8,40671
696,Thomas Hooker Brewing Company,1107109761,4.0,4.0,4.5,mattcrill,American Porter,4.5,4.5,Thomas Hooker Imperial Porter,7.8,14400
22200,Wormtown Brewing Co.,1301801708,3.0,3.0,3.5,BennyL1,American Pale Wheat Ale,2.5,3.0,Worcester's Bravest,5.0,58268
4,Allagash Brewing Company,1144037647,3.0,3.0,3.5,hero27,Dubbel,3.5,3.5,Allagash Dubbel Ale,7.0,10
735,21st Amendment Brewery,1224808370,4.0,4.0,3.5,brentk56,Fruit / Vegetable Beer,4.0,3.5,Hell Or High Watermelon Wheat Beer,4.9,4202
173,Hair of the Dog Brewing Company / Brewery and Tasting Room,1182824355,4.0,4.0,3.5,Wasatch,Tripel,4.0,4.0,Rose,7.5,1682
3469,Ezo Beer KK,1201912528,3.0,3.0,4.0,dsa7783,Fruit / Vegetable Beer,2.0,2.5,Buckwheat Ale,2.9,17991
10099,Dogfish Head Brewery,1195132503,4.5,4.0,4.0,DIM,American Brown Ale,4.0,4.0,Indian Brown Ale,7.2,1161
1141,Brasserie Dieu Du Ciel,1240779202,4.0,4.0,3.5,NEhophead,Herbed / Spiced Beer,4.0,4.0,Rosée D'hibiscus,5.9,30947
1075,Caldera Brewing Company,1302402558,3.5,3.5,4.0,sulldaddy,American Amber / Red Ale,4.5,3.5,Ashland Amber,5.4,10785
335,New Holland Brewing Company,1066523504,3.5,5.0,4.5,marburg,Fruit / Vegetable Beer,4.0,3.5,New Holland Cherry Ale,,6838
3760,Mill Street Brew Pub,1308531036,4.0,3.5,3.5,Converge,American Porter,3.5,3.5,Mill Street Coffee Porter,5.5,9781
1549,Goose Island Beer Co.,1228370725,4.0,4.0,4.0,barleywinefiend,American Double / Imperial Stout,4.0,4.5,Bourbon County Brand Stout,14.5,10672
22511,Hill Farmstead Brewery,1316577193,4.0,4.0,4.5,AgentZero,Saison / Farmhouse Ale,4.0,4.0,E.,7.0,68354
35,Boston Beer Company (Samuel Adams),1286678661,3.5,3.5,4.0,olmatty,American IPA,3.5,3.5,Samuel Adams Latitude 48 IPA,6.0,57252
1339,De Leyerth Brouwerijen (Urthel),1162366811,4.0,4.0,3.0,stephendr,Quadrupel (Quad),3.0,4.5,Urthel Samaranth,11.5,15274
99,Matt Brewing Company,1175655833,2.5,2.5,4.0,billybob,American Porter,3.5,2.5,Saranac Caramel Porter,5.4,902
21193,Mother Earth Brewing,1260436884,4.0,3.5,3.0,atsprings,Witbier,4.0,4.0,Weeping Willow Wit,5.0,53987
6143,Private Landbrauerei Scheuerer,1262306862,3.0,3.0,4.0,emerge077,Dunkelweizen,3.5,3.0,Moosbacher Schwarze Weisse,5.0,30173
20766,Greenport Harbor Brewing Company,1318633449,4.5,4.0,4.0,afksports,American Pale Ale (APA),4.5,4.5,Harbor Ale,5.3,52157
96,Magic Hat Brewing Company,1260640520,3.0,3.5,3.5,tone77,Schwarzbier,3.5,3.0,Howl,4.6,52704
63,Deschutes Brewery,1261463492,4.0,4.0,4.0,Anthony1,American Double / Imperial Stout,3.5,4.5,The Abyss,11.0,34420
5317,Full Sail Brewery at Riverplace / The Pilsner Room,1259985936,3.0,3.5,3.5,ThreeWiseMen,American Porter,2.5,3.5,Full Sail Imperial Porter,7.5,42209
1513,Barley's Smokehouse and Brewpub,1275242767,4.5,3.5,4.0,Bierguy5,Munich Dunkel Lager,4.0,4.0,Barley's 1516 Dunkel,,58761
741,"Lakefront Brewery, Inc.",1219446579,3.5,3.5,3.5,Nipitato,American IPA,3.5,3.5,IPA,6.9,40416
127,Portland Brewing Company,1085304828,2.0,3.0,2.0,Reidrover,American IPA,2.0,2.5,Elk Rock Wapati India Pale Ale,5.6,12010
262,Shmaltz Brewing Company,1235936803,3.5,4.0,3.5,GreenCard,American Brown Ale,4.0,3.5,He'Brew Jewbelation 12,12.0,45522
147,Stone Brewing Co.,1298946607,4.0,4.0,4.5,StoneBrewFanatic,American Barleywine,4.0,4.0,Stone Old Guardian Barley Wine Style Ale 2011,12.0,66268
423,Boulevard Brewing Co.,1265171947,5.0,4.0,5.0,hansgruber,Saison / Farmhouse Ale,4.5,4.5,Saison - Brett,8.5,36333
63,Deschutes Brewery,1225568571,4.0,4.5,4.0,Jyubei,American Porter,3.5,3.5,Black Butte Porter,5.2,198
296,St. Peter's Brewery Co Ltd,1252347810,3.0,4.0,3.5,flagmantho,English Porter,3.0,4.0,St. Peter's Old-Style Porter,5.1,838
180,Brouwerij Huyghe,1289348111,3.5,3.5,3.5,Seanibus,Belgian Strong Pale Ale,3.5,3.5,Delirium Tremens,8.5,1385
306,Coors Brewing Company,1306704003,2.0,2.0,2.0,THECPJ,Light Lager,2.0,2.0,Keystone Light,4.2,1341
12172,Dugges Ale- & Porterbryggeri AB,1219054555,5.0,4.5,4.0,Bananaman,American IPA,4.5,5.0,High Five!,7.5,43064
8148,Edenton Brewing Company,1160568490,3.5,3.5,3.0,ByTor2112,American Double / Imperial Stout,4.0,4.0,Edenton Winter Cheer Royal Stout,8.0,21060
4,Allagash Brewing Company,1245909292,4.0,4.0,4.5,onix1agr,Tripel,4.0,4.5,Allagash Tripel Ale,9.0,448
345,Victory Brewing Company,1144613748,4.0,4.0,4.5,Phatz,Quadrupel (Quad),4.5,4.5,V-Twelve,12.0,8998
5316,Full Sail Brewery & Tasting Room & Pub,1230185052,4.0,3.0,4.0,beertunes,Winter Warmer,4.0,3.5,Full Sail Wassail,7.0,217
287,"Bell's Brewery, Inc.",1137299938,4.0,4.0,4.0,northyorksammy,American Pale Wheat Ale,4.0,4.0,Bell's Wheat Two Ale,5.3,26638
29,Anheuser-Busch,1107387387,3.0,2.5,2.5,FranklinPCombs,Bock,2.0,2.0,Michelob Amber Bock,5.2,1252
140,Sierra Nevada Brewing Co.,1247786500,5.0,4.0,5.0,Gavage,Hefeweizen,4.5,4.5,Sierra Nevada Kellerweis Hefeweizen,4.8,48434
559,Speakeasy Ales & Lagers,1300865198,3.5,3.5,3.5,DovaliHops,American IPA,4.0,3.0,Big Daddy IPA,6.5,1472
1177,Minneapolis Town Hall Brewery,1090934533,5.0,4.0,4.5,wyllder,American IPA,4.0,5.0,Masala Mama India Pale Ale,5.9,6368
195,Brouwerij De Musketiers,1316303175,4.0,3.5,4.0,Rifugium,Belgian IPA,3.5,3.5,Troubadour Magma,9.0,58261
202,Brouwerij Bosteels,1115523193,4.0,4.5,4.5,orbitalr0x,Tripel,4.0,4.5,Tripel Karmeliet,8.4,656
3818,Southern Tier Brewing Company,1254000176,4.0,4.0,4.5,Sycodrummer,American Black Ale,4.0,4.5,Iniquity (Imperial Black Ale),9.0,47228
766,Heartland Brewery Union Square,1246135306,4.0,4.0,4.0,Nickls,Belgian Pale Ale,4.0,3.5,Heartland Big Belgian Blonde Ale,7.5,50742
147,Stone Brewing Co.,1290979601,3.5,4.5,4.5,elton044,American Strong Ale,4.5,4.0,Arrogant Bastard Ale,7.2,92
583,Saint Louis Brewery / Schlafly Tap Room,1262819012,2.5,4.0,4.0,jbone78,Herbed / Spiced Beer,3.0,2.5,Schlafly Christmas Ale,8.0,33515
35,Boston Beer Company (Samuel Adams),1212185309,2.0,3.0,4.0,fishtownhxc,American Pale Wheat Ale,2.0,2.0,Samuel Adams Summer Ale,5.3,103
1071,Sonoran Brewing Company,1073454723,3.0,3.0,3.5,lou91,Russian Imperial Stout,3.0,3.0,Inebriator Stout,9.1,8922
1199,Founders Brewing Company,1314231904,3.5,4.0,3.5,Satchboogie,American Double / Imperial IPA,4.0,3.5,Founders Devil Dancer,12.0,17538
5318,Port Brewing Company / Pizza Port,1202804035,4.5,4.0,4.0,MuenchenerKindl,American Double / Imperial IPA,4.5,4.0,Hop 15,10.0,31323
140,Sierra Nevada Brewing Co.,1233036412,5.0,3.5,4.5,Bootscraper,American Porter,4.0,4.0,Sierra Nevada Porter,5.6,279
1910,Water Street Brewery,1183482391,3.0,3.0,3.5,MrMcGibblets,Hefeweizen,2.5,3.0,Bavarian Weiss,,10209
583,Saint Louis Brewery / Schlafly Tap Room,1295125627,4.0,4.5,4.0,FanofHefe,Oatmeal Stout,4.0,4.5,Schlafly Coffee Stout,5.7,1994
1498,Brasseries Kronenbourg,1285630340,4.0,3.5,4.0,PEIBeerGuy,Euro Pale Lager,4.0,3.5,Kronenbourg 1664,5.9,3970
345,Victory Brewing Company,1240459013,3.5,3.0,4.0,Andreji,Munich Helles Lager,3.5,3.5,Victory Lager,4.8,1002
158,Great Divide Brewing Company,1277829451,4.0,4.0,4.0,Georgiabeer,Märzen / Oktoberfest,4.0,4.0,Hoss,6.2,51631
700,Elysian Brewing Company,1152719594,4.5,4.0,4.5,Xadoor,Oatmeal Stout,4.0,4.5,Dragon's Tooth Oatmeal Stout,7.45,2023
10097,Harpoon Brewery,1249608706,4.0,2.5,3.5,william5586,American Pale Wheat Ale,4.0,3.0,Harpoon Crystal Wheat,4.8,48835
184,Bierbrouwerij De Koningshoeven B.V.,1107672714,3.0,4.0,4.0,morbiddrumer,Belgian Pale Ale,3.0,3.5,La Trappe Blond (Koningshoeven / Dominus),6.5,590
68,Flying Dog Brewery,1222022520,4.0,4.5,4.0,jojox,Baltic Porter,4.0,4.5,Wild Dog Barrel-Aged Gonzo Imperial Porter,9.5,36342
147,Stone Brewing Co.,1301575841,4.5,5.0,5.0,Snow81,American Double / Imperial IPA,4.0,5.0,Stone Ruination IPA,7.7,4083
